,0
fdc_id,0
food_name,0
food_group,0
"Calcium, Ca",46
"Carbohydrate, by difference",0
Cholesterol,312
"Choline, total",2295
"Copper, Cu",388
Energy,0
"Fatty acids, total saturated",262
"Fiber, total dietary",394
"Fluoride, F",5187
"Folate, DFE",924
"Iron, Fe",45
"Magnesium, Mg",280
"Manganese, Mn",999
Niacin,294
Pantothenic acid,1042
"Phosphorus, P",252
"Potassium, K",193
Protein,0
Riboflavin,279
"Selenium, Se",753
"Sodium, Na",31
"Sugars, Total",1293
Thiamin,295
Total lipid (fat),0
"Vitamin A, RAE",666
Vitamin B-12,539
Vitamin B-6,390
"Vitamin C, total ascorbic acid",313
Vitamin D (D2 + D3),1742
Vitamin E (alpha-tocopherol),1620
Vitamin K (phylloquinone),1978
Water,0
"Zinc, Zn",293
