HC_count,SC_count,Total Makanan
19,14,343
19,13,2099
19,12,461
19,11,462
19,10,197
19,9,64
19,8,21
19,7,10
19,5,8
19,4,2
18,14,1
18,13,18
18,12,20
18,11,34
18,10,317
18,9,411
18,8,90
18,7,20
18,6,4
18,5,22
18,4,4
18,3,1
17,13,4
17,12,10
17,11,23
17,10,140
17,9,144
17,8,57
17,7,12
17,6,10
17,5,2
17,4,1
17,3,16
17,2,2
16,13,1
16,12,3
16,11,16
16,10,56
16,9,19
16,8,15
16,7,11
16,6,4
16,5,2
16,4,3
16,3,4
16,2,1
16,1,5
15,13,1
15,11,21
15,10,9
15,9,18
15,8,34
15,7,12
15,6,12
15,5,4
15,4,3
15,3,5
15,2,5
15,1,7
15,0,2
14,11,1
14,10,4
14,9,5
14,8,12
14,7,7
14,6,6
14,5,3
14,4,8
14,3,19
14,2,1
14,1,15
14,0,49
13,10,1
13,8,3
13,7,7
13,6,3
13,5,1
13,4,6
13,3,12
13,1,2
13,0,81
12,4,2
12,3,6
12,2,1
12,1,2
12,0,7
11,6,1
11,5,1
11,4,10
11,3,6
11,1,2
11,0,3
10,1,2
10,0,3
9,3,1
9,1,16
9,0,3
8,4,4
8,3,3
8,2,1
8,1,1
8,0,1
7,4,4
7,3,7
7,1,4
7,0,2
6,4,2
6,3,2
6,1,2
5,4,1
5,3,1
