last2_pattern,count
drained | with salt,120
drained | without salt,118
boiled | without salt,33
boiled | with salt,33
canned | condensed,32
canned | prepared with equal volume water,32
frozen | unprepared,30
mature seeds | raw,29
cooked | grilled,26
choice | raw,20
cooked | roasted,19
canned | solids and liquids,17
all grades | raw,16
separable lean and fat | raw,15
heavy syrup pack | solids and liquids,12
canned | drained solids,12
cooked | fried,12
with added solution | raw,12
canned | ready-to-serve,12
regular pack | solids and liquids,11
